E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,13.48314607,97.36842105,0,0,86.40776699,100,0,100,50,100,0,80,100,100
0,100,0,0,62.06896552,0,0,100,0,100,100,0,0,100,100,100
0,100,91.66666667,0,81.55339806,79.78723404,100,100,0,100,100,100,0,100,100,100
0,100,0,0,0,0,100,100,36.48648649,100,100,100,66.66666667,100,100,100
0,100,0,0,30.85106383,0,71.42857143,55.84415584,0,100,100,85.71428571,100,100,100,100
0,100,77.27272727,53.60824742,0,0,66.66666667,100,87.5,100,100,100,0,100,100,100
64.64646465,100,0,0,0,0,100,100,43.90243902,100,100,100,0,100,100,100
20,100,0,0,0,0,100,100,0,100,100,100,0,100,100,100
44.23076923,100,0,47.42268041,0,0,100,100,0,100,100,0,60,100,100,100
0,100,0,0,73.95833333,0,58.62068966,100,0,100,78,100,66.66666667,100,66.66666667,100
58.97435897,100,0,0,0,0,100,100,0,100,100,100,66.66666667,100,100,100
0,100,93.10344828,0,37.38317757,0,100,100,77.52808989,100,100,100,60,100,100,100
0,100,0,0,9,0,100,100,0,100,0,0,87.5,100,100,100
0,100,0,74.44444444,49.36708861,0,100,42.85714286,0,100,100,100,60,100,100,100
0,100,55.35714286,0,0,0,100,28.57142857,85.71428571,100,68.93203883,100,60,100,100,100
0,100,0,4.347826087,0,0,100,100,0,100,100,100,87.5,0,100,100
75,100,0,0,4.587155963,0,100,100,61.64383562,100,60,66.66666667,0,100,100,100
0,100,0,97.2972973,0,0,100,100,0,100,100,100,80,100,100,100
55,100,0,71.42857143,77.38095238,0,100,100,14.73684211,100,100,100,0,83.33333333,100,100
0,100,0,20,20,0,79.16666667,45.04504505,87.5,100,15.78947368,0,100,0,100,100
0,100,0,23.14814815,61.72839506,0,0,100,86.04651163,100,0,83.33333333,60,100,100,100
0,100,0,0,22.82608696,0,100,100,0,100,100,0,100,0,100,100
26.66666667,100,0,0,6.666666667,0,100,100,0,100,100,0,71.42857143,100,100,100
0,100,62.39316239,0,0,39.28571429,100,100,0,100,100,100,66.66666667,100,100,100
12.34567901,100,50,0,0,0,100,100,75.58139535,100,100,100,0,80,100,100
97.43589744,100,0,0,0,0,100,0,0,100,100,100,60,100,100,100
0,100,65.34653465,0,67.5,49.09090909,66.66666667,100,0,100,69.64285714,100,71.42857143,100,66.66666667,100
0,100,20,0,62.85714286,0,60,43.67816092,4.395604396,100,83.76068376,100,0,66.66666667,100,100
56.38297872,100,0,0,0,0,50,100,0,100,58.5106383,80,66.66666667,75,100,100
